"game_date","avg_release_speed"
2017-04-04,88.6025316455696
2017-04-09,88.8744680851064
2017-04-15,87.7884210526316
2017-04-20,87.3302631578947
2017-04-25,86.8733333333333
2017-04-30,86.7121212121212
2017-05-06,86.9092105263158
2017-05-12,88.7188888888889
2017-05-17,87.3932692307692
2017-05-23,87.3263736263736
2017-05-28,88.4615384615385
2017-06-02,88.3894736842105
2017-06-08,88.5639175257732
2017-06-16,88.9630952380952
2017-06-23,88.602752293578
2017-06-29,86.6769230769231
2017-07-04,87.7284403669725
2017-07-09,85.4782178217822
2017-07-15,86.1597402597403
2017-07-20,86.8592233009709
2017-07-26,87.5530973451327
2017-08-01,87.6028571428571
2017-08-06,86.7425925925926
2017-08-12,86.9455445544554
2017-08-17,85.3971153846154
2017-08-22,85.7373831775701
2017-08-27,86.2677083333333
2017-09-02,87.6947916666667
2017-09-08,87.6701298701299
2017-09-13,87.1371428571429
2017-09-18,85.1666666666667
2017-09-24,85.9925925925926
2017-09-29,83.4487804878049
2018-04-04,85.3765306122449
2018-04-10,85.4865168539326
2018-04-17,85.316
2018-04-22,85.092
2018-04-28,86.9917647058823
2018-05-03,83.0641304347826
2018-05-09,85.00625
2018-05-14,84.6111111111111
2018-05-19,84.5051020408163
2018-05-25,85.1636363636364
2018-05-30,83.8625
2018-06-05,84.7161616161616
2018-06-11,84.0747368421053
2018-06-16,85.196875
2018-06-22,84.771568627451
2018-06-29,84.7587628865979
2018-07-04,84.9350515463917
2018-07-10,85.7138888888889
2018-07-15,86.3417582417582
2018-07-23,85.4734693877551
2018-07-28,83.5576923076923
2018-08-03,85.2323529411765
2018-08-08,85.8902912621359
2018-08-14,86.2510416666667
2018-08-21,84.458947368421
2018-08-27,86.0231578947368
2018-09-01,85.9145833333333
2018-09-07,86.7631578947368
2018-09-12,85.9010989010989
2018-09-17,86.3354166666667
2018-09-22,86.6914634146341
2018-09-28,82.7896551724138
2019-03-31,86.1510638297872
2019-04-06,85.1790697674419
2019-04-12,85.6132075471698
2019-04-18,86.0626168224299
2019-04-23,86.3553398058252
2019-04-29,87.2260869565217
2019-05-04,86.1152542372881
2019-05-09,87.2570093457944
2019-05-15,86.3314814814815
2019-05-20,84.8714285714286
2019-05-25,86.0224137931035
2019-05-31,86.7461538461538
2019-06-06,86.1623762376238
2019-06-11,86.0136363636364
2019-06-19,87.5663366336634
2019-06-26,87.595
2019-07-02,86.1747126436782
2019-07-07,85.8807692307692
2019-07-13,87.0893203883495
2019-07-19,86.142
2019-07-24,86.9207547169811
2019-07-29,85.4420560747664
2019-08-04,87.0988505747126
2019-08-10,87.2148936170213
2019-08-16,87.4890909090909
2019-08-21,87.3559139784946
2019-08-27,86.1596153846154
2019-09-01,87.3821052631579
2019-09-06,87.1355140186916
2019-09-12,87.134
2019-09-17,87.5918181818182
2019-09-23,88.3416666666667
2019-09-28,87.768085106383
2019-10-03,87.7205607476636
2019-10-06,87.9314285714286
2019-10-09,87.7772727272727
2019-10-12,81.3
2019-10-15,88.1553191489362
2019-10-22,87.5809523809524
2019-10-26,86.6885416666667
2019-10-30,89.0613636363636
2020-07-21,82.8369230769231
2020-07-26,85.3933333333333
2020-08-04,85.0764705882353
2020-08-10,82.735632183908
2020-08-15,83.7595744680851
2020-08-21,84.3460784313725
2020-08-26,84.5854166666667
2020-09-01,84.6402173913043
2020-09-06,85.2971698113208
2020-09-12,84.1203703703704
2020-09-19,85.1913978494624
2020-09-24,84.5778761061947
2021-04-10,86.28375
2021-04-15,85.8904761904762
2021-04-20,84.6
2021-04-25,86.0759493670886
2021-05-01,85.8956989247312
2021-05-07,88.0308641975309
2021-05-13,86.3960784313725
2021-05-18,85.5816091954023
2021-05-23,86.7663157894737
2021-05-29,86.8935897435897
2021-06-03,86.5670886075949
2021-06-09,86.3806451612903
2021-06-15,85.0381818181818
2021-06-20,86.8541176470588
2021-06-26,86.6337662337662
2021-07-01,86.8226804123711
2021-07-07,88.9801886792453
2021-07-17,86.5179775280899
2021-07-23,88.167032967033
2021-07-29,87.9383720930233
2021-08-03,88.3774193548387
2021-08-08,86.8191176470588
2021-08-14,86.9567010309278
2021-08-20,90.6858695652174
2021-08-26,88.3431034482759
2021-08-31,88.9709677419355
2021-09-06,88.3114035087719
2021-09-12,88.5287128712871
2021-09-18,89.0816091954023
2021-09-23,87.3737373737374
2021-09-28,86.7742574257426
