"year","game_date","avg_release_speed"
"2017",2017-08-29,86.7434027777778
"2017",2017-08-30,86.98125
"2017",2017-08-31,87.2190972222222
"2017",2017-09-01,87.4569444444445
"2017",2017-09-02,87.6947916666667
"2017",2017-09-03,87.6906813672439
"2017",2017-09-04,87.6865710678211
"2017",2017-09-05,87.6824607683983
"2017",2017-09-06,87.6783504689755
"2017",2017-09-07,87.6742401695527
"2017",2017-09-08,87.6701298701299
"2017",2017-09-09,87.5635324675325
"2017",2017-09-10,87.4569350649351
"2017",2017-09-11,87.3503376623377
"2017",2017-09-12,87.2437402597403
"2017",2017-09-13,87.1371428571429
"2017",2017-09-14,86.7430476190477
"2017",2017-09-15,86.3489523809524
"2017",2017-09-16,85.9548571428572
"2017",2017-09-17,85.560761904762
"2017",2017-09-18,85.1666666666667
"2017",2017-09-19,85.3043209876544
"2017",2017-09-20,85.441975308642
"2017",2017-09-21,85.5796296296297
"2017",2017-09-22,85.7172839506173
"2017",2017-09-23,85.854938271605
"2017",2017-09-24,85.9925925925926
"2017",2017-09-25,85.4838301716351
"2017",2017-09-26,84.9750677506775
"2017",2017-09-27,84.46630532972
"2017",2017-09-28,83.9575429087624
"2017",2017-09-29,83.4487804878049
"2018",2018-04-04,85.3765306122449
"2018",2018-04-05,85.3948616525262
"2018",2018-04-06,85.4131926928075
"2018",2018-04-07,85.4315237330888
"2018",2018-04-08,85.44985477337
"2018",2018-04-09,85.4681858136513
"2018",2018-04-10,85.4865168539326
"2018",2018-04-11,85.4621573033708
"2018",2018-04-12,85.437797752809
"2018",2018-04-13,85.4134382022472
"2018",2018-04-14,85.3890786516854
"2018",2018-04-15,85.3647191011236
"2018",2018-04-16,85.3403595505618
"2018",2018-04-17,85.316
"2018",2018-04-18,85.2712
"2018",2018-04-19,85.2264
"2018",2018-04-20,85.1816
"2018",2018-04-21,85.1368
"2018",2018-04-22,85.092
"2018",2018-04-23,85.4086274509804
"2018",2018-04-24,85.7252549019608
"2018",2018-04-25,86.0418823529411
"2018",2018-04-26,86.3585098039215
"2018",2018-04-27,86.6751372549019
"2018",2018-04-28,86.9917647058823
"2018",2018-04-29,86.2062378516624
"2018",2018-04-30,85.4207109974424
"2018",2018-05-01,84.6351841432225
"2018",2018-05-02,83.8496572890025
"2018",2018-05-03,83.0641304347826
"2018",2018-05-04,83.3878170289855
"2018",2018-05-05,83.7115036231884
"2018",2018-05-06,84.0351902173913
"2018",2018-05-07,84.3588768115942
"2018",2018-05-08,84.6825634057971
"2018",2018-05-09,85.00625
"2018",2018-05-10,84.9272222222222
"2018",2018-05-11,84.8481944444444
"2018",2018-05-12,84.7691666666667
"2018",2018-05-13,84.6901388888889
"2018",2018-05-14,84.6111111111111
"2018",2018-05-15,84.5899092970521
"2018",2018-05-16,84.5687074829932
"2018",2018-05-17,84.5475056689342
"2018",2018-05-18,84.5263038548753
"2018",2018-05-19,84.5051020408163
"2018",2018-05-20,84.6148577612863
"2018",2018-05-21,84.7246134817563
"2018",2018-05-22,84.8343692022264
"2018",2018-05-23,84.9441249226964
"2018",2018-05-24,85.0538806431664
"2018",2018-05-25,85.1636363636364
"2018",2018-05-26,84.9034090909091
"2018",2018-05-27,84.6431818181818
"2018",2018-05-28,84.3829545454546
"2018",2018-05-29,84.1227272727273
"2018",2018-05-30,83.8625
"2018",2018-05-31,84.0047769360269
"2018",2018-06-01,84.1470538720539
"2018",2018-06-02,84.2893308080808
"2018",2018-06-03,84.4316077441077
"2018",2018-06-04,84.5738846801347
"2018",2018-06-05,84.7161616161616
"2018",2018-06-06,84.6092574871522
"2018",2018-06-07,84.5023533581428
"2018",2018-06-08,84.3954492291334
"2018",2018-06-09,84.2885451001241
"2018",2018-06-10,84.1816409711147
"2018",2018-06-11,84.0747368421053
"2018",2018-06-12,84.2991644736842
"2018",2018-06-13,84.5235921052632
"2018",2018-06-14,84.7480197368421
"2018",2018-06-15,84.9724473684211
"2018",2018-06-16,85.196875
"2018",2018-06-17,85.1259906045752
"2018",2018-06-18,85.0551062091503
"2018",2018-06-19,84.9842218137255
"2018",2018-06-20,84.9133374183007
"2018",2018-06-21,84.8424530228758
"2018",2018-06-22,84.771568627451
"2018",2018-06-23,84.7697392359006
"2018",2018-06-24,84.7679098443501
"2018",2018-06-25,84.7660804527997
"2018",2018-06-26,84.7642510612492
"2018",2018-06-27,84.7624216696988
"2018",2018-06-28,84.7605922781484
"2018",2018-06-29,84.7587628865979
"2018",2018-06-30,84.7940206185567
"2018",2018-07-01,84.8292783505154
"2018",2018-07-02,84.8645360824742
"2018",2018-07-03,84.8997938144329
"2018",2018-07-04,84.9350515463917
"2018",2018-07-05,85.0648577701412
"2018",2018-07-06,85.1946639938908
"2018",2018-07-07,85.3244702176403
"2018",2018-07-08,85.4542764413898
"2018",2018-07-09,85.5840826651394
"2018",2018-07-10,85.7138888888889
"2018",2018-07-11,85.8394627594628
"2018",2018-07-12,85.9650366300366
"2018",2018-07-13,86.0906105006105
"2018",2018-07-14,86.2161843711843
"2018",2018-07-15,86.3417582417582
"2018",2018-07-16,86.2332221350078
"2018",2018-07-17,86.1246860282574
"2018",2018-07-18,86.016149921507
"2018",2018-07-19,85.9076138147566
"2018",2018-07-20,85.7990777080063
"2018",2018-07-21,85.6905416012559
"2018",2018-07-22,85.5820054945055
"2018",2018-07-23,85.4734693877551
"2018",2018-07-24,85.0903139717425
"2018",2018-07-25,84.70715855573
"2018",2018-07-26,84.3240031397174
"2018",2018-07-27,83.9408477237049
"2018",2018-07-28,83.5576923076923
"2018",2018-07-29,83.836802413273
"2018",2018-07-30,84.1159125188537
"2018",2018-07-31,84.3950226244344
"2018",2018-08-01,84.6741327300151
"2018",2018-08-02,84.9532428355958
